observation_id,review_status,inn,smiles,column_chemistry,column_length_mm,column_id_mm,particle_um,modifier,organic_percent,pH,buffer,flow_ml_min,temperature_c,t0_min,t0_source,t0_porosity_assumption,retention_time_min,retention_time_low_min,retention_time_high_min,log_k,source_file,source_page,source_chunk_id,condition_page_distance,extraction_method,extraction_confidence,validation_status,validation_issues,evidence
auto-00001,needs_review,etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,,,,,acetonitrile,23.0,,False,,,,,,,10.0,15.0,,ЛП-№(000508)-(РГ-RU)-180122.pdf,4,0f55ab594a7b73fced6548fc46da312b896d7f00,6,regex_v1,low,incomplete,missing_column;missing_flow;missing_exact_tR;missing_t0,"OXIA 120 на одной стороне, и с тиснением 204 на другой стороне. ИДЕНТИФИКАЦИЯ Норма: Время удерживания основного пика на хроматограмме испытуемого раствора должно соответствовать времени удерживания пика эторикоксиба на хроматограмме стандартного раствора (в пределах + 2,5 %). Метод: ВЭЖХ Определение проводят одновременно с тестом «Количественное определение». - образца (например: примерно 10 — 15 мин при скорости перемешивания 9 для Brinkman Metrohm 701 КЕ Titrino) и еще на 5 ми"
auto-00002,needs_review,etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,,100.0,3.0,5.0,acetonitrile,23.0,,False,0.6,40,0.8011,estimated_column_geometry,0.68,2.5,2.5,2.5,0.3264761970389442,ЛП-№(000508)-(РГ-RU)-180122.pdf,11,c54598fdbc32e234a003bdf970a2397fe113984a,1,regex_v1,high,incomplete,missing_column;estimated_t0_not_measured,"т 0,01 М раствор хлористоводородной кислоты. На хроматограмме растворителя не должно присутствовать пиков, перекрывающих основные ПИКИ. 2. Вводят рабочий стандартный раствор. а. Время удерживания для пика эторикоксиба составляет около 2,5 мин. b. Фактор асимметрии (T) для пика эторикоксиба составляет < 1,5."
auto-00003,needs_review,etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,,100.0,3.0,5.0,acetonitrile,23.0,,False,0.6,40,0.8011,estimated_column_geometry,0.68,2.5,2.5,2.5,0.3264761970389442,ЛП-№(000508)-(РГ-RU)-180122.pdf,12,18e3b531f35a03673fbd5277f9f4b5245e3c5665,2,regex_v1,high,incomplete,missing_column;estimated_t0_not_measured,"т 0,01 М раствор хлористоводородной кислоты. На хроматограмме растворителя не должно присутствовать пиков, перекрывающих основные ПИКИ. 2. Вводят рабочий стандартный раствор. а. Время удерживания для пика эторикоксиба составляет около 2,5 мин. b. Фактор асимметрии (T) для пика эторикоксиба составляет < 1,5. ЛП-№(000508)"
auto-00004,needs_review,etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,,,,5.0,acetonitrile,27.0,2.95,True,0.6,40,,,,2.5,2.5,2.5,,ЛП-№(000508)-(РГ-RU)-180122.pdf,19,730bf7e02d51fef3db657ac9da73533413c19bbc,3,regex_v1,high,incomplete,missing_column;missing_t0,"ичия, обусловленные различными поставщиками оборудования для проведения ВЭЖХ. 1. Вводят растворитель, чтобы исключить какие-либо побочные пики. 2. Вводят стандартный раствор. а. Время удерживания для пика эторикоксиба около 2,5 мин. Ь. Фактор асимметрии пика эторикоксиба должен быть < 1,5. с. Относительное ст"
auto-00005,needs_review,etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,,,,,acetonitrile,27.0,2.95,True,,,,,,7.0,7.0,7.0,,ЛП-№(000508)-(РГ-RU)-180122.pdf,24,0b471d653a3ad41809182d40c0364dcc58a498ae,2,regex_v1,high,incomplete,missing_column;missing_flow;missing_t0,тношение «Сигнал : шум» по трем введениям должно быть > 3 с относительным стандартным отклонением < 25%. 3. Вводят раствор для проверки пригодности хроматографической системы. а. Время удерживания для пика эторикоксиба составляет около 7 минут. b. Остальные пики должны элюироваться при соответствующем относительном вре
auto-00006,needs_review,benzydamine,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,CN,150.0,4.6,5.0,,,,False,1.0,30,1.6951,estimated_column_geometry,0.68,,9.0,11.0,,ЛП-№(000540)-(РГ-RU)-120124.pdf,8,c49b7bca93e0650479ff7a2eebb72c047ba0ac1c,4,regex_v1,high,incomplete,missing_modifier;missing_organic_percent;missing_exact_tR;estimated_t0_not_measured,"ки и перемешивают. Все растворы используют свежеприготовленными. Хроматографические условия: Температура колонки 30 °С Детектирование УФ детектор, 239 нм Объем пробы 20 мкл Время удерживания пика бензидамина Около 9 - 11 мин Относительные времена удерживания по пику бензидамина Метилпарагидроксибенз"
auto-00007,needs_review,benzydamine,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,CN,150.0,4.6,5.0,,,,False,1.0,30,1.6951,estimated_column_geometry,0.68,22.0,22.0,22.0,1.0783942708639362,ЛП-№(000540)-(РГ-RU)-120124.pdf,8,c49b7bca93e0650479ff7a2eebb72c047ba0ac1c,4,regex_v1,low,incomplete,missing_modifier;missing_organic_percent;estimated_t0_not_measured,"роматографические условия: Температура колонки 30 °С Детектирование УФ детектор, 239 нм Объем пробы 20 мкл Время удерживания пика бензидамина Около 9 - 11 мин Относительные времена удерживания по пику бензидамина Метилпарагидроксибензоат – около 0,7 - 0,8 Примесь С – около 1,1 - 1,2 Примесь А – около 1,2 - 1,3 НД_____________________ С. 9 Примесь В – около 1,5 - 1,7 Время хроматографирования 22 мин Хроматографируют РСО Б, РСО В, испытуемый раствор, раствор плацебо и раствор"
auto-00008,needs_review,benzydamine,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,CN,150.0,4.6,5.0,,,,False,1.0,30,1.6951,estimated_column_geometry,0.68,7.0,7.0,7.0,0.4954681643024394,ЛП-№(000540)-(РГ-RU)-120124.pdf,12,764e41adaf1068602766a9a49948aa5365eee2e7,0,regex_v1,high,incomplete,missing_modifier;missing_organic_percent;estimated_t0_not_measured,"бования теста «Проверка пригодности хроматогра - фической системы» Скорость потока 1,0 мл/мин Температура колонки 30 °С Детектирование УФ детектор, 239 нм Объем пробы 10 мкл Время удерживания пика бензидамина Около 7 мин Время удерживания пика метилпарагидроксибензоата Около 5 мин Время хроматог"
auto-00009,needs_review,benzydamine,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,CN,150.0,4.6,5.0,,,,False,1.0,30,1.6951,estimated_column_geometry,0.68,5.0,5.0,5.0,0.2899472760813525,ЛП-№(000540)-(РГ-RU)-120124.pdf,12,764e41adaf1068602766a9a49948aa5365eee2e7,0,regex_v1,high,incomplete,missing_modifier;missing_organic_percent;estimated_t0_not_measured,"фической системы» Скорость потока 1,0 мл/мин Температура колонки 30 °С Детектирование УФ детектор, 239 нм Объем пробы 10 мкл Время удерживания пика бензидамина Около 7 мин Время удерживания пика метилпарагидроксибензоата Около 5 мин Время хроматографирования 10 мин Хроматографируют РСО А и испытуемый раствор,"
auto-00010,needs_review,benzydamine,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,CN,150.0,4.6,5.0,,,,False,1.0,30,1.6951,estimated_column_geometry,0.68,6.0,6.0,6.0,0.40475325876960716,ЛП-№(000540)-(РГ-RU)-120124.pdf,15,2feb343b4f5ff4535bd6d233b1326bdf9d6c1c7f,3,regex_v1,high,incomplete,missing_modifier;missing_organic_percent;estimated_t0_not_measured,"ора 260 °С Условия Head space Температура флакона – 40 °С, время уравновешивания – 5 мин, температура иглы – 50 °С Объем вводимой пробы 1 мл Время хроматографирования 10 мин Время удерживания пика этанола Около 6 мин"
