observation_id,inn,smiles,column_chemistry,column_length_mm,column_id_mm,particle_um,modifier,organic_percent,pH,buffer,flow_ml_min,temperature_c,retention_time_min,sample_weight,is_approximate,condition_completeness,source_file,source_page,extraction_confidence,evidence
auto-00001,etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,,,,,acetonitrile,23.0,,False,,,15.0,0.1667,0,0.2222,ЛП-№(000493)-(РГ-RU)-100122.pdf,2,low,"е: от белого до бледно-желтого или от белого до кремового цвета. Подлинность3 Время удерживания основного пика на | ВЭЖХ хроматограмме испытуемого раствора должно соответствовать времени удерживания пика эторикоксиба на хроматограмме стандартного раствора (в пределах = 2,5 %). Вода*5 Не более 3,0 %. ГФ РФ, метод К. ИИ Растворение Стадия I - не менее 85 % от заявленного | ВЭЖХ содержания через 15 мин (для 6 таблеток); Стадия П - не менее 80 % от заявленного содержания через 15"
auto-00002,etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,,,,,acetonitrile,23.0,,False,,,2.5,0.25,1,0.2222,ЛП-№(000493)-(РГ-RU)-100122.pdf,11,high,"роматограмме растворителя не должно присутствовать пиков, перекрывающих основные Пики. 2) Вводят рабочий стандартный раствор и оценивают пригодность хроматографической системы. ® Время удерживания для пика эторикоксиба составляет около 2,5 мин; » Фактор асимметрии (T) для пика эторикоксиба должен быть не более 1,5; © e От"
auto-00003,etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,,,,,acetonitrile,,,False,0.6,40,2.5,0.3,1,0.3333,ЛП-№(000493)-(РГ-RU)-100122.pdf,17,high,"ль. На хроматограмме растворителя не должно присутствовать пиков, перекрывающих основные пики. 2) Вводят стандартный раствор и оценивают пригодность хроматографической системы. ® Время удерживания пика эторикоксиба составляет около 2,5 мин; » Фактор асимметрии пика эторикоксиба должен быть не более 1,5; » Относительно"
auto-00004,etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,C18,,,3.5,acetonitrile,27.0,,True,0.6,40,2.5,0.45,1,0.6667,ЛП-№(000493)-(РГ-RU)-100122.pdf,19,high,"2) Вводят стандартный раствор и оценивают пригодность хроматографической системы. ® Время удерживания пика эторикоксиба составляет около 2,5 мин; » Фактор асимметрии пика эторикоксиба должен быть не более 1,5; » Относительно"
auto-00005,etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,C18,,,3.5,acetonitrile,27.0,,True,1.2,40,7.0,0.45,1,0.6667,ЛП-№(000493)-(РГ-RU)-100122.pdf,23,high,> 3 с относительным стандартным отклонением (RSD) < 25%. 3) Вводят раствор для проверки пригодности хроматографической системы и оценивают пригодность хроматографической системы. Время удерживания для пика эторикоксиба составляет около 7 мин. Относительные времена удерживания пиков примесей приведены в таблице:
auto-00008,etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,,100.0,3.0,5.0,acetonitrile,23.0,,False,0.6,40,2.5,0.5,1,0.7778,ЛП-№(000508)-(РГ-RU)-180122.pdf,11,high,"т 0,01 М раствор хлористоводородной кислоты. На хроматограмме растворителя не должно присутствовать пиков, перекрывающих основные ПИКИ. 2. Вводят рабочий стандартный раствор. а. Время удерживания для пика эторикоксиба составляет около 2,5 мин. b. Фактор асимметрии (T) для пика эторикоксиба составляет < 1,5."
auto-00010,etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,,,,5.0,acetonitrile,27.0,2.95,True,0.6,40,2.5,0.45,1,0.6667,ЛП-№(000508)-(РГ-RU)-180122.pdf,19,high,"ичия, обусловленные различными поставщиками оборудования для проведения ВЭЖХ. 1. Вводят растворитель, чтобы исключить какие-либо побочные пики. 2. Вводят стандартный раствор. а. Время удерживания для пика эторикоксиба около 2,5 мин. Ь. Фактор асимметрии пика эторикоксиба должен быть < 1,5. с. Относительное ст"
auto-00011,etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,C18,,,3.5,acetonitrile,27.0,2.95,True,1.2,40,7.0,0.5,1,0.7778,ЛП-№(000508)-(РГ-RU)-180122.pdf,24,high,тношение «Сигнал : шум» по трем введениям должно быть > 3 с относительным стандартным отклонением < 25%. 3. Вводят раствор для проверки пригодности хроматографической системы. а. Время удерживания для пика эторикоксиба составляет около 7 минут.
auto-00012,etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,C18,,,3.5,,,,True,1.2,40,7.0,0.35,1,0.4444,ЛП-№(000508)-(РГ-RU)-180122.pdf,26,high,тношение «Сигнал : шум» по трем введениям должно быть > 3 с относительным стандартным отклонением < 25%. 3. Вводят раствор для проверки пригодности хроматографической системы. а. Время удерживания для пика эторикоксиба составляет около 7 минут. b. Остальные пики должны элюироваться при соответствующем относительном вре
auto-00014,benzydamine,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,CN,150.0,4.6,5.0,methanol,,,False,1.0,30,22.0,0.2,1,0.7778,ЛП-№(000540)-(РГ-RU)-120124.pdf,8,low,"70 70 → 30 16 – 22 70 30 Температура колонки 30 °С Детектирование УФ детектор, 239 нм Объем пробы 20 мкл Время удерживания пика бензидамина Около 9 - 11 мин Относительные времена удерживания по пику бензидамина Метилпарагидроксибензоат – около 0,7 - 0,8 Примесь С – около 1,1 - 1,2 Примесь А – около 1,2 - 1,3 НД_____________________ С. 9 Примесь В – около 1,5 - 1,7 Время хроматографирования 22 мин Хроматографируют РСО Б, РСО В, испытуемый раствор, раствор плацебо и раствор"
